Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Spliceosome	2/150	0.009716646481874956	0.1714746564140319	0	0	14.88888888888889	68.99384156820626	SNRNP27;LSM4
Galactose metabolism	1/31	0.030561860107418466	0.1714746564140319	0	0	35.0	122.08008572013848	UGP2
Pentose and glucuronate interconversions	1/34	0.033471909401101146	0.1714746564140319	0	0	31.8133971291866	108.07165990908112	UGP2
Starch and sucrose metabolism	1/36	0.0354073301248565	0.1714746564140319	0	0	29.992481203007518	100.19997336732251	UGP2
Basal transcription factors	1/45	0.044071254437806	0.1714746564140319	0	0	23.84688995215311	74.44873932423765	TAF13
Amino sugar and nucleotide sugar metabolism	1/48	0.046942764384003306	0.1714746564140319	0	0	22.32138857782755	68.27724816722397	UGP2
Pyrimidine metabolism	1/56	0.05456011794991924	0.1714746564140319	0	0	19.066985645933013	55.45541451142644	CMPK1
RNA degradation	1/79	0.0761391600452789	0.19084541943475555	0	0	13.429149797570851	34.58264664318254	LSM4
mRNA surveillance pathway	1/98	0.09361158601957499	0.19084541943475555	0	0	10.788388497015735	25.553389086720664	NXT2
Drug metabolism	1/108	0.10268104833642752	0.19084541943475555	0	0	9.775209050664044	22.249624223401657	CMPK1
Ribosome biogenesis in eukaryotes	1/108	0.10268104833642752	0.19084541943475555	0	0	9.775209050664044	22.249624223401657	NXT2
Neurotrophin signaling pathway	1/119	0.11255786172167787	0.19084541943475555	0	0	8.859054415700268	19.350725039139657	YWHAE
Cell cycle	1/124	0.11701310021259619	0.19084541943475555	0	0	8.496790757381259	18.229604422217157	YWHAE
Oocyte meiosis	1/129	0.12144708509484445	0.19084541943475555	0	0	8.162828947368421	17.209501461061883	YWHAE
Hepatitis C	1/157	0.14588910939450966	0.19744687774371925	0	0	6.6882591093117405	12.874286612773822	YWHAE
Hippo signaling pathway	1/163	0.151041964046623	0.19744687774371925	0	0	6.43859649122807	12.17021946242288	YWHAE
Influenza A	1/172	0.15871590556373052	0.19744687774371925	0	0	6.096952908587258	11.22229194089618	NXT2
NOD-like receptor signaling pathway	1/181	0.1663239190403913	0.19744687774371925	0	0	5.7894736842105265	10.385262524745686	YWHAE
RNA transport	1/186	0.17052230350593933	0.19744687774371925	0	0	5.631578947368421	9.961639057655574	NXT2
Viral carcinogenesis	1/203	0.1846470750790034	0.20311178258690377	0	0	5.153204794163627	8.705355125083043	YWHAE
PI3K-Akt signaling pathway	1/354	0.30046603743206485	0.30755649646253463	0	0	2.9263456090651556	3.5186981013861267	YWHAE
Amyotrophic lateral sclerosis	1/364	0.30755649646253463	0.30755649646253463	0	0	2.8442801217920834	3.353680680530016	NXT2
