GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0003674	molecular_function	1.2740702548822553e-14	1.2740702548822553e-14	+1	CMPK1,YWHAE,TAF13,NXT2,AGFG1,CRYZL1,UBL5,CNTROB,WDR17,UFL1,IBTK,UGP2,SNRNP27,TOR1AIP1,HMGN2,COX17,PARP3,PTPN12,CMAS,POLI,NDUFS2,CNOT10,NUDT19,NPTN,COX8A,ARHGAP10,SPATA6,SEC63,S100A6,NDUFA1,CSTF2T,PCBP1,DUT,CCDC124,AP3S1,ACSL3,PROS1,PET100
GO:0005488	binding	1.306763143283715e-13	1.306763143283715e-13	+1	CMPK1,YWHAE,TAF13,NXT2,AGFG1,CRYZL1,UBL5,CNTROB,WDR17,UFL1,IBTK,UGP2,SNRNP27,TOR1AIP1,HMGN2,COX17,PARP3,PTPN12,POLI,NDUFS2,CNOT10,NUDT19,NPTN,COX8A,ARHGAP10,SPATA6,SEC63,S100A6,CSTF2T,PCBP1,DUT,CCDC124,AP3S1,ACSL3,PROS1,PET100
GO:0005515	protein binding	3.8904902057242685e-13	3.8904902057242685e-13	+1	CMPK1,YWHAE,TAF13,NXT2,AGFG1,UBL5,CNTROB,WDR17,UFL1,IBTK,UGP2,SNRNP27,TOR1AIP1,HMGN2,COX17,PARP3,PTPN12,POLI,NDUFS2,CNOT10,NPTN,COX8A,ARHGAP10,SPATA6,SEC63,S100A6,CSTF2T,PCBP1,DUT,AP3S1,ACSL3,PROS1,PET100
GO:0016779	nucleotidyltransferase activity	0.00014478501391570965	0.00014478501391570965	+1	UGP2,PARP3,CMAS,POLI
GO:0097159	organic cyclic compound binding	0.0001913670514472984	0.0001913670514472984	+1	CMPK1,YWHAE,TAF13,AGFG1,CRYZL1,UGP2,SNRNP27,HMGN2,POLI,NDUFS2,SEC63,CSTF2T,PCBP1,DUT,CCDC124,ACSL3
GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	0.0001913670514472984	0.0001913670514472984	+1	CRYZL1,NDUFS2,NDUFA1
GO:0019103	pyrimidine nucleotide binding	0.0001913670514472984	0.0001913670514472984	+1	UGP2,DUT
GO:0003824	catalytic activity	0.0001913670514472984	0.0001913670514472984	+1	CMPK1,CRYZL1,UFL1,UGP2,PARP3,PTPN12,CMAS,POLI,NDUFS2,NUDT19,COX8A,NDUFA1,DUT,ACSL3
GO:0015453	oxidoreduction-driven active transmembrane transporter activity	0.00026497870629763764	0.00026497870629763764	+1	NDUFS2,COX8A,NDUFA1
GO:0016651	oxidoreductase activity, acting on NAD(P)H	0.0005664017545803544	0.0005664017545803544	+1	CRYZL1,NDUFS2,NDUFA1
GO:0098772	molecular function regulator activity	0.0007988017444634803	0.0007988017444634803	+1	YWHAE,AGFG1,IBTK,TOR1AIP1,COX17,ARHGAP10,DUT,PROS1
GO:0009055	electron transfer activity	0.0010494977630212715	0.0010494977630212715	+1	NDUFS2,COX8A,NDUFA1
GO:0015399	primary active transmembrane transporter activity	0.002872545355182428	0.002872545355182428	+1	NDUFS2,COX8A,NDUFA1
GO:0050136	NADH dehydrogenase (quinone) activity	0.004806713059651914	0.004806713059651914	+1	NDUFS2,NDUFA1
GO:0003954	NADH dehydrogenase activity	0.004806713059651914	0.004806713059651914	+1	NDUFS2,NDUFA1
GO:0003955	NAD(P)H dehydrogenase (quinone) activity	0.004806713059651914	0.004806713059651914	+1	NDUFS2,NDUFA1
GO:0036094	small molecule binding	0.004806713059651914	0.004806713059651914	+1	CMPK1,AGFG1,CRYZL1,UGP2,COX17,POLI,NDUFS2,NUDT19,S100A6,DUT,ACSL3,PROS1
GO:0008137	NADH dehydrogenase (ubiquinone) activity	0.004806713059651914	0.004806713059651914	+1	NDUFS2,NDUFA1
GO:0016772	transferase activity, transferring phosphorus-containing groups	0.004806713059651914	0.004806713059651914	+1	CMPK1,UGP2,PARP3,CMAS,POLI
GO:0003676	nucleic acid binding	0.005159860799826487	0.005159860799826487	+1	YWHAE,TAF13,AGFG1,SNRNP27,HMGN2,POLI,SEC63,CSTF2T,PCBP1,DUT,CCDC124
GO:0061666	UFM1 ligase activity	0.0059831763930971674	0.0059831763930971674	+1	UFL1
