Gene,Mean_Difference,Log_P_Value,P_Value,Significant
RP11-264B17.5,1.7703646771378199,1.7826214114072687,0.016495997745807733,True
AC002306.1,1.7509515743110105,1.9249424683180103,0.011886596806495654,True
AC010084.1,1.7296685635551365,1.8269989569770635,0.014893646546378507,True
AP3M2,1.7172721838966263,2.6855194749383235,0.0020629111587248295,True
GPR88,1.7123578366505834,1.5324811811289716,0.029343966546292243,True
AC016831.7,1.6943103833915547,2.6603341808432366,0.0021860788330313147,True
ZNF154,1.6865377911402057,2.385901197122236,0.004112432691429211,True
TMEM155,1.680471375329473,2.709986902059314,0.0019499034062478774,True
AL928654.7,1.6753526879295557,1.9113785203852545,0.012263698913966602,True
NEFM,1.6747777449406833,1.3991203361556215,0.039891435416738376,True
CLDN14,1.659075898865419,1.5619859844851975,0.027416626492054303,True
RP3-330M21.5,1.6499436702684678,1.6068192528765628,0.024727530551855854,True
RGL4,1.6453420986121299,2.5253238344666418,0.0029831573789508114,True
LAMB4,1.6426039313726566,1.3336377549037521,0.04638336421457475,True
CTD-3088G3.6,1.639741945252629,2.467961860151816,0.0034043808574463915,True
RP11-429E11.3,1.6388606822871985,2.569079692511056,0.002697244445944879,True
PGLYRP2,1.6330196043020972,1.5928608087892668,0.025535195735460526,True
RP11-138A9.2,1.6177223635672524,2.2755685819320175,0.005301898606969167,True
HTR2B,1.6172306816044149,1.3127230192180572,0.048671752144487906,True
NUGGC,1.6091295865155746,1.6724040633400306,0.02126159967020957,True
RP1-187B23.1,1.6088383658087877,1.454932829143095,0.03508061277527116,True
BFSP2,1.6079556340309455,1.465216332091063,0.03425970885296913,True
SEPT1,1.603062074797835,2.3591460241010758,0.004373750205527185,True
SV2B,1.601990071489777,1.677634685489624,0.021007061869286355,True
HAPLN4,1.6019709064286514,1.7484577215571344,0.017846057109368395,True
GTSCR1,1.6015169790850203,1.4868462122647867,0.03259521032545969,True
PCDH11X,1.5744729741297596,2.155096413345024,0.006996866483716573,True
LDHAL6A,1.5697630354342107,2.2772561940290426,0.005281336093311042,True
PKIA-AS1,1.568134355420364,1.4524572142114915,0.035281154316573984,True
RP11-474P2.2,1.5649545133388436,1.494981889324901,0.03199028510783065,True
CTD-2371O3.2,1.5616457466750489,1.4273167359642518,0.03738378445837701,True
BCL11B,1.5614481870648844,2.2540856631680333,0.005570758567011691,True
RP11-456O19.2,1.5610188567262329,1.4482441857971655,0.03562507720521103,True
ZFP36L2,1.5435542334086243,1.9326561657573342,0.011677337548796338,True
CTC-550B14.7,1.5425400193483694,1.5167122495612635,0.030429004920945975,True
SPNS3,1.5419357136860994,2.193697291398045,0.006401808939769916,True
LINC00330,1.5415797928527724,1.5147115833115103,0.03056950572258473,True
FSBP,1.5380841670331962,1.5878188693173354,0.02583337395437513,True
RP11-401P9.4,1.5375367500910957,1.4881718165990727,0.032495871102571385,True
RP11-542M13.3,1.5368254035547264,1.3970702149127814,0.04008019124142955,True
C7orf65,1.536745028351454,2.0092113048783826,0.009790135329589887,True
RP11-407H12.8,1.5364376186059887,1.3738597092232143,0.042280517157645865,True
NMT2,1.5204455312365774,1.415692600040203,0.0383978935210967,True
SCML4,1.5203064023678055,1.6639316285028771,0.02168045395920843,True
RP11-80H18.3,1.5184023271163025,1.7703911412699356,0.016967148415485297,True
RP11-714L20.1,1.514904113658683,2.0796014961103158,0.008325273387531312,True
TRBV7-2,1.5139887784995052,1.892367066228452,0.012812472131728127,True
TM4SF18,1.5121393881383338,2.051861666881046,0.00887438637331258,True
RP11-553L6.2,1.5092316315943828,2.012825412647373,0.00970900192852507,True
UBASH3A,1.5076820547102572,1.9946833484908646,0.010123172830310561,True
