GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0070888	E-box binding	0.02076881613749988	0.02076881613749988	+1	AHR
GO:0098531	ligand-activated transcription factor activity	0.02076881613749988	0.02076881613749988	+1	AHR
GO:0001099	basal RNA polymerase II transcription machinery binding	0.02076881613749988	0.02076881613749988	+1	AHR
GO:0001098	basal transcription machinery binding	0.02076881613749988	0.02076881613749988	+1	AHR
GO:0140296	general transcription initiation factor binding	0.02076881613749988	0.02076881613749988	+1	AHR
GO:0106222	lncRNA binding	0.02076881613749988	0.02076881613749988	+1	ELAVL1
GO:0001094	TFIID-class transcription factor complex binding	0.02076881613749988	0.02076881613749988	+1	AHR
GO:0061980	regulatory RNA binding	0.02076881613749988	0.02076881613749988	+1	ELAVL1
GO:0003954	NADH dehydrogenase activity	0.02076881613749988	0.02076881613749988	+1	NDUFB4
GO:0050840	extracellular matrix binding	0.02076881613749988	0.02076881613749988	+1	AGRN
GO:0003955	NAD(P)H dehydrogenase (quinone) activity	0.02076881613749988	0.02076881613749988	+1	NDUFB4
GO:0004879	nuclear receptor activity	0.02076881613749988	0.02076881613749988	+1	AHR
GO:0002162	dystroglycan binding	0.02076881613749988	0.02076881613749988	+1	AGRN
GO:0008137	NADH dehydrogenase (ubiquinone) activity	0.02076881613749988	0.02076881613749988	+1	NDUFB4
GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	0.02076881613749988	0.02076881613749988	+1	NDUFB4
GO:0017025	TBP-class protein binding	0.02076881613749988	0.02076881613749988	+1	AHR
GO:0033691	sialic acid binding	0.02076881613749988	0.02076881613749988	+1	AGRN
GO:0035198	miRNA binding	0.02076881613749988	0.02076881613749988	+1	ELAVL1
GO:0035374	chondroitin sulfate binding	0.02076881613749988	0.02076881613749988	+1	AGRN
GO:0035925	mRNA 3'-UTR AU-rich region binding	0.02076881613749988	0.02076881613749988	+1	ELAVL1
GO:0042803	protein homodimerization activity	0.02076881613749988	0.02076881613749988	+1	ELAVL1,AHR
GO:0043236	laminin binding	0.02076881613749988	0.02076881613749988	+1	AGRN
GO:0003674	molecular_function	0.02076881613749988	0.02076881613749988	+1	NDUFB4,EBNA1BP2,ELAVL1,AHR,AGRN,MOB2
GO:0043395	heparan sulfate proteoglycan binding	0.02076881613749988	0.02076881613749988	+1	AGRN
GO:0046983	protein dimerization activity	0.02076881613749988	0.02076881613749988	+1	ELAVL1,AHR
GO:0001223	transcription coactivator binding	0.02076881613749988	0.02076881613749988	+1	AHR
GO:0050136	NADH dehydrogenase (quinone) activity	0.02076881613749988	0.02076881613749988	+1	NDUFB4
GO:0051879	Hsp90 protein binding	0.02076881613749988	0.02076881613749988	+1	AHR
GO:0043394	proteoglycan binding	0.02076881613749988	0.02076881613749988	+1	AGRN
GO:0001091	RNA polymerase II general transcription initiation factor binding	0.02076881613749988	0.02076881613749988	+1	AHR
GO:0015453	oxidoreduction-driven active transmembrane transporter activity	0.0221024443678541	0.0221024443678541	+1	NDUFB4
GO:0003725	double-stranded RNA binding	0.023674818381815357	0.023674818381815357	+1	ELAVL1
GO:0005515	protein binding	0.026854494576999125	0.026854494576999125	+1	EBNA1BP2,ELAVL1,AHR,AGRN,MOB2
